0	250	<SIL>	67	
250	60	A	2	
310	220	MAN	40	
529	269	HAS	50	
799	149	BEEN	37	
949	470	ARRESTED	40	
1419	80	IN	45	
1500	89	THE	36	
1589	420	BOURBON	29	
2009	280	STREET	55	
2289	450	SHOOTING	35	
2740	130	THAT	56	
2869	229	LEFT	30	
3099	340	ONE	41	
3439	380	PERSON	38	
3819	269	DEAD	56	
4089	170	AND	15	
4259	30	<SIL>	41	
4289	210	EIGHT	28	
4500	199	MORE	27	
4699	30	<SIL>	2	
4730	480	INJURED	54	
5210	210	<s>	65	
5420	229	twenty	60	
5650	140	YEAR	75	
5789	149	OLD	62	
5940	370	TRYING	42	
6309	210	T	36	
6519	110	LE	33	
6629	380	<SIL>	1	
7009	149	OF	20	
7159	350	CHASSE	40	
7509	599	LOUISIANA	33	
8109	140	WAS	59	
8250	280	TAKEN	25	
8529	149	INTO	33	
8679	590	CUSTODY	52	
9269	30	<SIL>	3	
9300	80	IN	26	
9380	740	MISSISSIPPI	52	
10119	229	ON	45	
10349	630	FRIDAY	53	
10979	170	<SIL>	67	
11149	0	<s>	100	
11329	80	HE	44	
11409	70	IS	48	
11479	140	GOING	18	
11619	60	TO	3	
11679	99	BE	34	
11779	520	EXTRADITED	33	
12299	120	TO	37	
12419	710	LOUISIANA	37	
13130	160	WHERE	34	
13289	190	HE	40	
13479	299	WILL	54	
13780	329	FACE	37	
14110	359	ONE	29	
14469	310	CHARGE	40	
14780	80	OF	46	
14860	240	FIRST	48	
15099	240	DEGREE	39	
15339	350	MURDER	68	
15689	290	AND	17	
15979	320	NINE	66	
16299	450	CHARGES	25	
16749	30	<SIL>	9	
16780	80	OF	18	
16860	550	ATTEMPTED	41	
17409	260	FIRST	33	
17669	240	DEGREE	43	
17909	399	MURDER	54	
18309	329	<s>	66	
18639	190	ON	42	
18829	30	<SIL>	1	
18860	160	the	27	
19019	229	twenty	52	
19249	340	ninth	59	
19589	160	ON	48	
19749	140	NEW	65	
19889	340	ORLEANS	49	
20229	350	FAMOUS	35	
20579	410	BOURBON	38	
20989	299	STREET	50	
21289	550	GUNFIRE	43	
21840	359	BROKE	55	
22199	199	OUT	28	
22400	99	IN	63	
22500	89	THE	39	
22590	60	<SIL>	6	
22650	320	EARLY	27	
22969	390	MORNING	27	
23359	49	<SIL>	14	
23410	539	HOURS	61	
23949	40	<SIL>	70	
23990	0	<s>	100	
24219	250	ACCORDING	34	
24469	89	TO	20	
24559	49	A	19	
24609	290	POLICE	32	
24899	450	STATEMENT	48	
25349	160	LE	8	
25509	240	AND	20	
25750	299	ANOTHER	40	
26050	340	MAN	35	
26389	110	WERE	69	
26500	340	TRYING	46	
26840	89	TO	32	
26929	429	SETTLE	63	
27359	30	<SIL>	0	
27389	99	AN	39	
27489	40	<SIL>	29	
27529	599	ARGUMENT	33	
28130	359	<s>	59	
28489	130	LE	0	
28619	380	APPARENTLY	25	
29000	510	FIRED	65	
29509	89	THE	51	
29599	470	FIRST	41	
30069	359	SHOT	32	
30429	250	<s>	63	
30679	170	ALL	35	
30849	89	OF	17	
30939	60	<SIL>	0	
31000	290	NINE	75	
31289	280	PEOPLE	38	
31569	30	<SIL>	0	
31599	220	WERE	61	
31819	269	HIT	59	
32090	80	WERE	62	
32170	610	REPORTEDLY	39	
32779	30	<SIL>	3	
32809	399	INNOCENT	39	
33210	830	BYSTANDERS	51	
34039	0	<s>	100	
34359	240	BRITTANY	26	
34599	350	THOMAS	42	
34949	170	WAS	44	
35119	160	ONE	38	
35280	80	OF	63	
35359	89	THE	49	
35449	280	TWO	55	
35729	500	VICTIMS	30	
36229	329	LEFT	33	
36560	30	<SIL>	1	
36589	179	IN	70	
36770	459	CRITICAL	47	
37229	640	CONDITION	38	
37869	30	<s>	0	
37899	179	SHE	45	
38079	290	DIED	50	
38369	140	ON	35	
38510	269	JULY	48	
38779	530	SECOND	30	
39309	350	<s>	62	
39659	220	POLICE	25	
39879	30	<SIL>	3	
39909	99	ARE	56	
40010	370	STILL	51	
40379	610	INVESTIGATING	40	
40989	110	THE	37	
41099	590	IDENTITY	54	
41689	40	<SIL>	6	
41729	120	OF	49	
41849	80	THE	45	
41930	489	SECOND	44	
42419	30	<SIL>	53	
42449	489	GUNMAN	43	
42939	280	<s>	62	
43220	110	FOR	68	
43329	310	NEWSBEAT	40	
43639	459	SOCIAL	29	
44099	620	<SIL>	6	
44720	620	<SIL>	54	
45339	0	<s>	100	
