0	280	<SIL>	33	
280	170	AROUND	39	
449	240	FOUR	27	
689	269	HUNDRED	35	
959	399	TRUCKS	49	
1360	350	CARRYING	25	
1709	30	<SIL>	2	
1740	480	FUEL	49	
2220	149	AND	30	
2369	70	<SIL>	2	
2440	320	OIL	54	
2759	120	WERE	51	
2879	359	ATTACKED	33	
3240	140	BY	55	
3379	489	TALIBAN	26	
3869	550	INSURGENTS	39	
4420	89	IN	59	
4509	729	AFGHANISTAN	30	
5239	130	ON	7	
5369	70	<SIL>	65	
5440	550	FRIDAY	46	
5989	199	<SIL>	65	
6190	340	CREATING	40	
6529	60	A	20	
6589	539	MASSIVE	33	
7129	370	BLAZE	48	
7500	320	JUST	25	
7819	399	OUTSIDE	51	
8220	70	OF	41	
8289	520	KABUL	50	
8809	240	<s>	63	
9050	80	THE	40	
9130	310	TANKERS	38	
9439	120	WERE	55	
9559	520	LOCATED	34	
10079	80	IN	63	
10159	60	A	22	
10219	520	PARKING	31	
10739	450	DEPOT	46	
11189	30	<SIL>	2	
11219	669	REPORTEDLY	41	
11889	60	<SIL>	48	
11949	0	<s>	100	
12390	350	FUEL	57	
12739	489	INTENDED	39	
13229	140	FOR	65	
13369	240	NATO	46	
13609	640	FORCES	33	
14250	210	<s>	68	
14460	199	WHILE	57	
14660	179	THERE	45	
14839	30	<SIL>	4	
14870	60	WERE	8	
14929	310	NO	35	
15239	489	IMMEDIATE	38	
15729	380	REPORTS	20	
16109	99	OF	33	
16210	770	CASUALTIES	57	
16979	80	THE	61	
17059	680	DESTRUCTION	38	
17739	329	WAS	32	
18069	480	EVIDENT	39	
18549	299	<s>	57	
18849	199	NEWS	37	
19049	269	FOOTAGE	56	
19319	260	SHOWED	26	
19580	310	MANY	56	
19889	329	CHARRED	34	
20219	489	TANKERS	43	
20709	130	WITH	52	
20839	190	SOME	43	
21029	410	FIRES	69	
21439	429	STILL	65	
21870	420	BURNING	37	
22290	190	ON	46	
22479	719	SATURDAY	61	
23200	640	<SIL>	39	
23839	0	<s>	100	
24060	30	<SIL>	12	
24089	500	INTERIOR	36	
24589	440	MINISTRY	35	
25029	380	SAID	54	
25409	260	AROUND	44	
25669	250	TWO	51	
25919	340	HUNDRED	41	
26259	480	TANKERS	37	
26739	140	WERE	62	
26879	370	LEFT	33	
27249	160	<SIL>	63	
27409	620	COMPLETELY	28	
28029	590	DESTROYED	39	
28619	329	<s>	52	
28949	70	THE	40	
29020	399	TALIBAN	36	
29419	380	ALREADY	51	
29799	329	CLAIMED	34	
30129	820	RESPONSIBILITY	31	
30949	229	FOR	32	
31179	130	THE	50	
31310	550	ATTACK	49	
31859	310	<s>	64	
32169	89	THE	6	
32259	410	INSURGENTS	32	
32669	410	REPORTEDLY	14	
33079	370	LAUNCHED	41	
33449	390	ROCKETS	31	
33839	120	AT	49	
33959	80	THE	54	
34040	500	TANKERS	43	
34540	179	AND	36	
34719	320	FIRED	66	
35040	160	AT	33	
35200	650	DRIVERS	59	
35850	120	WHO	34	
35969	450	TRIED	50	
36419	80	TO	11	
36499	329	TURN	41	
36829	170	ON	36	
36999	140	THEIR	43	
37139	640	VEHICLES	52	
37780	60	<SIL>	70	
37839	0	<s>	100	
38479	229	DAYS	38	
38709	299	BEFORE	33	
39009	710	AFGHANISTAN	32	
39719	390	PLANS	40	
40110	99	TO	29	
40209	340	ANNOUNCE	39	
40549	719	PRELIMINARY	25	
41270	450	RESULTS	56	
41719	120	OF	2	
41839	140	ITS	55	
41980	340	LATEST	23	
42319	530	PRESIDENTIAL	34	
42850	370	VOTE	57	
43219	310	<s>	60	
43529	70	THE	41	
43600	440	TALIBAN	36	
44039	280	<SIL>	4	
44319	550	PUBLICLY	29	
44869	350	VOWED	37	
45219	89	TO	53	
45310	510	DISRUPT	52	
45819	49	<SIL>	8	
45869	130	THE	3	
45999	429	ELECTION	40	
46429	729	PROCESS	50	
47159	299	<s>	65	
47459	110	FOR	49	
47569	280	NEWSBEAT	47	
47850	429	SOCIAL	30	
48280	149	<SIL>	63	
48429	149	I'M	48	
48579	350	<SIL>	8	
48929	680	<SIL>	61	
49610	0	<s>	100	
